ID,Caption,Date,Era,Facts,Sources,Conflicts
bbc-sound-of-2013,CHVRCHES on the BBC Sound of 2013 Shortlist,,The Bones of What You Believe,"- CHVRCHES were included on the BBC Sound of 2013 shortlist, ultimately finishing fifth; the listing was part of the band's pre-album buzz-building period. [1,2,3,4]
- The BBC Sound of 2013 longlist was compiled from tips from more than 210 tastemakers, described as music critics, editors, broadcasters, and bloggers. [3]
- The BBC Sound of 2013 top five was revealed in reverse order, one artist per day, with CHVRCHES announced at number five on 2012-12-31 and the winner to be announced the following Friday. [3]","1. www.allmusic.com-album-the-bones-of-what-you-believe-mw0002555667
2. www.allmusic.com-artist-chvrches-mn0003052164-related
3. www.bbc.co.uk-news-entertainment-arts-20780332
4. www.bbc.co.uk-programmes-articles-499LFcFTHx2lT11Xn7tYKnV-heaven-sent-chvrches-are-a-perfect-pop-band-for-our-times"
bury-it-song,"""Bury It"" (Song and Alternate Version Featuring Hayley Williams)",,Every Open Eye,"- Every Open Eye's singles included a version of ""Bury It"" featuring Paramore's Hayley Williams. [1]
- The SXSW 2016 official CHVRCHES artist bio characterises ""Bury It"" (alongside ""Never Ending Circles"" and ""Playing Dead"") as being about ""being unapologetic and not being told what to do or who to be."" This represents the band's/label's own promotional framing of the song's lyrical theme. [2]","1. www.allmusic.com-artist-chvrches-mn0003052164-related
2. schedule.sxsw.com-2016-2016-events-event-MS36440"
by-the-throat-song,"""By the Throat"" (Song)",,The Bones of What You Believe,"- ""By the Throat"" was track 11 (penultimate track) on The Bones of What You Believe; Martin Doherty reflected that by the album's release day he had already noticed the clapping elements in the track had been ""quite trendy at the time"" and had ""not dated as well."" [1]
- The song was originally going to be called ""Bad Blood""; CHVRCHES changed the title after receiving a heads-up from Bastille — who share the same record label — that Bastille were releasing a song with that title. Shortly afterward, Taylor Swift also released a song titled ""Bad Blood,"" prompting Mayberry to reflect: ""Phew! Good thing we changed that!"" [1]
- Lauren Mayberry stated on the record that ""By the Throat"" is among a handful of CHVRCHES songs written about the experience of signing the band: ""Obviously, we were so lucky for what was happening... But all that glitters isn't always gold, necessarily. What that experience actually entails — you think that everybody in your life is gonna be really happy for you... it isn't like that, in my experience."" She noted that at the time she couldn't say this directly to her bandmates ""because it'll scare them,"" so she wrote it as a song instead. [1]
- Iain Cook noted a lyrical thread connecting ""By the Throat"" to ""How Not To Drown."" [1]",1. stereogum.com-2236734-chvrches-debut-album-the-bones-of-what-you-believe-turns-10-interviews
call-it-off-cover-2017,"CHVRCHES Cover Tegan and Sara's ""Call It Off"" for The Con 10th Anniversary Edition",,Love Is Dead,"- CHVRCHES covered Tegan and Sara's ""Call It Off"" for a compilation benefiting the Tegan and Sara Foundation — the tenth anniversary edition of The Con. Lauren Mayberry confirmed in a February 2018 interview: ""We did a cover of Call It Off for their compilation that benefits the Tegan and Sara Foundation."" [1,2]","1. www.allmusic.com-artist-chvrches-mn0003052164-related
2. www.youtube.com-watch-v-5UUUkbEE9LI"
campbell-mcneil-biography,Campbell McNeil — Biographical Facts (CHVRCHES Manager),,,"- Campbell McNeil, former bassist of Aereogramme, became CHVRCHES' manager. [1,2]
- After the end of Aereogramme, McNeil worked as tour manager for The Temper Trap and Gotye before taking on the CHVRCHES management role. [1]","1. allroyforprez.blogspot.com-2012-07-churches
2. www.undertheradarmag.com-interviews-chvrches_-_the_under_the_radar_cover_story"
change-shapes-song,"""Change Shapes"" — Lauren Mayberry Solo Single",,Vicious Creature,"- ""Change Shapes"" is a Lauren Mayberry solo track produced in collaboration with Matthew Koma. [1]
- The Skinny (April 2024) described ""Change Shapes"" as a ""full blown pop belter."" [1]
- ""Change Shapes"" had been released via EMI by 2024-04-29, the date of The Skinny's Lauren Mayberry solo feature; the article's closing note states ""Change Shapes is out now via EMI."" [1]
- Mayberry co-wrote ""Change Shapes"" with a collaborator named Evan Blair and a person named Cleo Taylor (Mayberry's pronunciation of the second name was transcribed as ""Lasso Cleo Taylor"" in the source; the exact first name is uncertain). [2]
- Mayberry described ""Change Shapes"" as ""definitely the most pop pop one"" on the album. [2]
- ""Change Shapes"" includes the lyric ""I'm a doll inside a box, with a ball and a chain""; BBC describes the song as a condemnation of music industry sexism. [3]
- While recording the chorus of ""Change Shapes,"" Mayberry was already thinking about choreography: ""I quite like the idea of like some kind of choreography girl band thing here."" [2]","1. www.theskinny.co.uk-music-interviews-chvrches-interview-screen-violence
2. www.youtube.com-watch-v-5pbl7IGVk0s
3. www.bbc.co.uk-news-articles-cy7k830zdejo"
chvrches-archie-comics,CHVRCHES Appear in Archie Comics,,Love Is Dead,"- CHVRCHES' likenesses appeared in an Archie comic; the band confirmed this in a February 2018 interview. Martin Doherty attributed the opportunity to the band's well-known interests in video games and comics resonating with creators: ""that kind of filters, I guess, through to people that make comics and make video games. So we've ended up putting songs on video games and here we are finally, our faces in a comic. And that's just one of those amazing opportunities that comes across and you get asked if you want to do it and you say, hell yeah."" [1]
- As of February 2018, Tegan and Sara were announced to appear in a new Archie comic following the CHVRCHES appearance; Lauren Mayberry stated: ""I think Tegan and Sara are going to be there in a new one."" Martin Doherty confirmed: ""Yeah, they are."" [1]",1. www.youtube.com-watch-v-5UUUkbEE9LI
chvrches-bbc-vic-galloway-sessions-2012-2014,"CHVRCHES — Studio Sessions for Vic Galloway's BBC Programme, 2012 and 2014",,The Bones of What You Believe,"- CHVRCHES recorded studio sessions for BBC Scotland broadcaster Vic Galloway's BBC programme in both 2012 and 2014. Galloway referenced photographs from both sessions while hosting the Òran Mór Q&A on 2024-12-08. No further details — song titles, specific programme name, or exact recording dates — are confirmed from this source. [1]",1. www.youtube.com-watch-v-5pbl7IGVk0s
chvrches-bristol-thekla-tbowytb-tour,"CHVRCHES at the Thekla, Bristol (Bluetooth Mouse Incident)",,The Bones of What You Believe,"- During an early CHVRCHES show at the Thekla in Bristol (approximate date: the early touring period of 2012–2013), the band's Bluetooth mouse — stored in a flight case at the side of the stage — was being moved around by sub-bass vibrations, causing the cursor to jump uncontrollably on screen during the intro to ""Lies."" Cook was unable to advance to the verse section of the song: ""I couldn't get control of the mouse cursor to move onto the next section of the song."" [1]
- Lauren Mayberry, watching the incident from the stage: ""I thought you'd lost your damn mind."" [1]
- Mayberry stated in 2023 that she has never returned to the Thekla Bristol venue since this show. [1]",1. stereogum.com-2236734-chvrches-debut-album-the-bones-of-what-you-believe-turns-10-interviews
chvrches-death-cab-for-cutie-support-june-2016,"CHVRCHES Support Death Cab for Cutie on US Tour, June 2016",,Every Open Eye,"- CHVRCHES performed on a short US support tour with Death Cab for Cutie in June 2016, preceding their Mexico concert dates later that year (El Plaza Condesa CDMX on 2016-09-28; Live Out Festival Monterrey on 2016-10-01). [1]",1. anwar.mx-2016-10-05-chvrches-el-plaza-condesa-cdmx
chvrches-depeche-mode-support-2013-07,"CHVRCHES Open for Depeche Mode — Four European Shows, July 2013",,The Bones of What You Believe,"- In July 2013, CHVRCHES opened four European shows for Depeche Mode — on the Delta Machine tour — whom the band have cited as heroes and aesthetic forebears. [1,2]
- Iain Cook said he was overcome with ""sheer terror"" in the lead-up to the Depeche Mode support shows. [1]
- Cook said of hearing Depeche Mode open with songs from Violator at the first support show: ""When they played some of the songs off that, the first show, I was nearly in tears."" He described Violator as ""one of my favorite records of all time."" [1]
- Cook said: ""When they put out Violator, I was 11 or something"" — the article notes he was ""off by a few years."" Violator was released in March 1990; Cook was born approximately 1975 (age 38 in September 2013), making him approximately 15 when the album was released. [1]","1. consequence.net-2013-09-cover-story-chvrches
2. anwar.mx-2016-10-05-chvrches-el-plaza-condesa-cdmx"
chvrches-el-plaza-condesa-cdmx-2016-09-28,"CHVRCHES at El Plaza Condesa, Mexico City — 28 September 2016",28.09.2016,Every Open Eye,"- CHVRCHES performed at El Plaza Condesa in Mexico City, Mexico on 2016-09-28; the show sold out, with all tickets selling out approximately two months after going on sale. [1]
- Floor ticket resale prices reached approximately $2,000 MXN ahead of the show; the Ticketmaster website did not release additional tickets, as occasionally happens with sold-out events. [1]
- Doors opened slightly before the scheduled 7:00pm opening time; CHVRCHES took the stage at 9:30pm. [1]
- The pre-show ambient playlist featured music by Radiohead, Deftones, Deafheaven, Holly Herndon, DJ Shadow, and Caribou. [1]
- The stage featured a CHVRCHES logo banner as backdrop; Moog synthesizers and electronic instruments were covered with black cloths before the show. [1]
- Lauren Mayberry appeared on stage in a deliberately simple outfit: ripped jeans and black boots. [1]
- The complete 18-song setlist in order: (1) Never Ending Circles / (2) We Sink / (3) Keep You on My Side / (4) Make Them Gold / (5) Empty Threat / (6) Tether / (7) Playing Dead / (8) Science/Visions / (9) Lies / (10) Gun / (11) High Enough to Carry You Over / (12) Under the Tide / (13) Recover / (14) Bury It / (15) Leave a Trace / (16) Clearest Blue; Encore: (17) Afterglow / (18) The Mother We Share. [1]
- ""Never Ending Circles"" opened the show; the reviewer identified it as the standard concert opener for the Every Open Eye touring cycle. [1]
- During ""Empty Threat"" and ""Playing Dead,"" Lauren Mayberry played percussion on stage, as she does in regular live performance; during ""Playing Dead"" she ended the song lying on the floor. [1]
- For ""Tether,"" Iain Cook switched from bass and synthesizers to electric guitar. [1]
- ""Science/Visions"" was performed and described by the reviewer as a surprise return, noting it had not been played for some time prior to this show. [1]
- Between ""Lies"" and ""Gun,"" Lauren Mayberry delivered a brief spoken address to the crowd. [1]
- A Mexico flag bearing the CHVRCHES name written in black was thrown from the crowd to Martin Doherty at the transition before ""High Enough to Carry You Over""; he placed it on his midi controller, then swapped positions with Lauren Mayberry and took lead vocals for ""High Enough to Carry You Over"" and ""Under the Tide."" [1]
- ""Recover"" was performed with its full intro. [1]
- ""Afterglow"" opened the encore and was performed nearly a cappella, with Mayberry delivering the song with minimal backing. [1]
- During the encore's closing song ""The Mother We Share,"" Lauren Mayberry wore the Mexico flag that had been thrown to Martin Doherty earlier in the set, wearing it throughout the song. [1]
- Lauren Mayberry verbally promised from the stage at the end of the concert to return to Mexico to present the third album. [1]
- The concert lasted approximately ninety minutes. [1]",1. anwar.mx-2016-10-05-chvrches-el-plaza-condesa-cdmx
chvrches-fifth-album,"CHVRCHES — Fifth Studio Album (In Development, 2026)",,CHV 5,"- Mayberry stated on 2023-09-04 (backstage at her first solo concert, for NPR's All Things Considered) that CHVRCHES had re-signed with their record label for more albums: ""We've re-signed the band for more records. So everyone is confident and comfortable that that's going to happen."" She also confirmed: ""Our plan is that we're going to do both"" — meaning the solo career and the band. [1]
- On the temporary nature of the CHVRCHES hiatus, Mayberry stated in September 2023: ""good for everyone to fly the coop for a little bit and then come back together."" [1]
- In a 2026-02-17 Billboard interview by Sophie Williams, CHVRCHES described their forthcoming fifth studio album as having ""a ferocity to it"" — an attributed on-the-record characterisation of the album's sonic or creative direction; the full article body is not captured in the corpus, so the complete quote and its speaker are not confirmed. [2]
- Mayberry first referred to a fifth CHVRCHES album on the record in October 2023, stating: ""Then, as and when we come back for the fifth album, it has to be moving the conversation forward – it can't just be a different version of the same thing."" [3]
- At the Òran Mór Q&A on 2024-12-08, Mayberry again confirmed CHVRCHES' ongoing status, saying the band had re-signed and were figuring out next steps: ""Yes, so we've just taken a wee pause, but we've — the band's resigned and we're figuring out what to do."" She added: ""Yes. I feel like I should have like a tabard with a disclaimer on it, but I'm just going around at the moment like, sorry, it's fine, it'll happen again."" This corroborates her September 2023 statement that the band had re-signed for more records. [4,1]
- Mayberry articulated the rationale for the CHVRCHES hiatus in October 2023: ""After 10 years and four albums, this is a good time to take a minute. Everyone go on your own adventure so when we come back we're not just having the same musical conversations over and over."" She also stated: ""Four albums in a row is pretty solid, so it's important to get new stuff into our brains."" [3]
- Mayberry offered a direct public reassurance about CHVRCHES' future in October 2023: ""Just give us a couple more years guys, it's going to be fine."" [3]
- In the summer of 2025, CHVRCHES first publicly told fans they had started work on a new album, without sharing any details about a potential release date. [5,6]
- In an NME interview published in early March 2026 (""earlier this month"" relative to 2026-03-27), Martin Doherty and Jonny Scott discussed the forthcoming fifth CHVRCHES album. Doherty stated: ""It's going to surprise people, and I hope it's going to delight them and rip some faces off,"" and confirmed the album was ""90 per cent complete"" at that time. He added: ""It's quite hard, but not to the point where you won't recognise the band. It's still the same people and DNA."" [5]
- Jonny Scott is referenced alongside Martin Doherty as a participant in the early March 2026 NME interview about the fifth album, described by NME as part of ""the band."" This is the first source in the corpus to indicate Scott may hold a band-level (rather than touring) role in the fifth album cycle. [5]
- CHVRCHES released two commercial singles in early 2026 on Hollywood Records, per the australian-charts.com singles discography: ""Addicted To Love"" (Australian release 2026-01-16) and ""Such Great Heights"" (Australian release 2026-02-17) — the first corpus source to confirm Hollywood Records as the label for the 2026 CHVRCHES recording cycle. [7]","1. www.npr.org-2023-09-06-1197862462-lauren-mayberry-chvrches-solo-are-you-awake
2. www.billboard.com-artist-Chvrches-chart-history-ALT
3. www.nme.com-news-music-chvrches-lauren-mayberry-interview-solo-female-perspective-tour-album-future-3510639
4. www.youtube.com-watch-v-5pbl7IGVk0s
5. www.nme.com-news-music-watch-chvrches-debut-heavy-new-song-conman-at-robert-smiths-teenage-cancer-trust-shows-at-royal-albert-hall-3937136
6. au.rollingstone.com-music-music-news-chvrches-new-song-conman-performance-royal-albert-hall-93056
7. australian-charts.com-showinterpret.asp-interpret-Chvrches"
chvrches-first-concert-art-school-2012-07,"CHVRCHES First Concert at the Art School, Glasgow, July 2012",,The Bones of What You Believe,"- Martin Doherty stated in a 2013 interview that the first official CHVRCHES concert was held at the Art School in Glasgow in July 2012. [1]
- Martin Doherty described the first CHVRCHES concert as ""an exciting and terrifying time,"" noting that despite having played in many different bands previously, he had never felt such intense nerves as at that show. [1]
- A German concert review published 2012-07-26 describes the Art School show as CHVRCHES' first headliner show under their own name in early July 2012; it was preceded by a single pseudonym appearance under ""Shark Week"" at a Vic Galloway event in Edinburgh, which was not counted as an official CHVRCHES performance. [2]
- Backstage before the show, the trio did something they said they would never repeat: each took a shot of tequila to calm their nerves before going on stage. They knew label representatives would be in the audience. Martin confirmed in a 2016 interview that this was ""the only time I've ever drank tequila before a performance. To this day"" — and Iain added that even Lauren, who had not been expected to partake, took a shot. [3,4]
- At the first Art School show, an A&R representative from a UK label took Mayberry aside and said: ""This is going to be amazing. I'm going to make you the new Pixie Lott."" Mayberry described her reaction: ""I'm sure she's a lovely lady, and what she's doing is great for her. But at that time I was like, 'But I'm in a band, and you've just come in and decided that you're going to separate me from the band and put the girl up front'. That stuff was very uncomfortable for me."" [3]","1. www.youtube.com-watch-v-WmxJyYqo92I
2. allroyforprez.blogspot.com-2012-07-churches
3. www.undertheradarmag.com-interviews-chvrches_-_the_under_the_radar_cover_story
4. www.youtube.com-watch-v-5vx-IX4uRqY"
chvrches-first-la-show-2013-03,"CHVRCHES First Los Angeles Show, March 2013",,The Bones of What You Believe,"- CHVRCHES' first-ever show in Los Angeles (March 2013) was sold out far in advance and organised by Neon Gold Records; the band described performing at a Neon Gold-organised event as an ""honor,"" as Neon Gold were ""the first people to play their song."" [1]
- A Paste Magazine interview by Philip Cosores was conducted with all three CHVRCHES members — Lauren Mayberry, Iain Cook, and Martin Doherty — outdoors in Echo Park, Los Angeles, on the evening before the first LA show (approximately 2013-03-24, consistent with the article's first publication date of 2013-03-25). [1]
- The morning after the first LA show, CHVRCHES flew from Los Angeles to Austin, Texas to perform at South by Southwest (SXSW). [1]",1. www.pastemagazine.com-articles-2013-12-chvrches-the-best-of-whats-next-1
